date,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
2000-03-02,3.989075,31.139546,25.29837,11.091806,56.800079,21.492027,25.3894,27.682424,26.963928,81.1639,40.096259,79.434234,40.587825,24.253377,32.571919,16.017479,20.447106,28.943461,30.92665,31.915074,3.05519,18.512245,28.353564,14.674754,5.89442,18.314777,NA,23.300037,37.88653,25.763431
2000-03-03,4.185259,31.124972,25.29837,11.715846,58.805732,21.172575,27.488257,29.287205,27.786303,86.434283,39.641653,83.189307,41.815103,24.191664,32.799342,16.178864,21.399097,30.099518,30.013205,32.85501,3.048702,18.873812,28.718893,14.634216,6.111954,18.675215,NA,23.326396,39.431963,25.324282
2000-03-06,4.109646,30.134098,24.726407,11.816498,58.244149,21.012849,26.946616,28.886008,27.480882,87.435656,39.187047,79.386092,41.157633,23.204249,33.734303,15.815747,20.902406,29.342826,29.491236,30.975139,2.957889,18.331462,28.394156,14.55314,5.89442,18.02192,NA,24.038049,37.839698,24.404159
2000-03-07,4.017685,29.463804,24.462424,10.890503,56.505917,23.000551,25.084726,28.886008,25.981243,88.437029,38.124298,79.33795,40.587825,22.545972,33.077308,15.210553,19.784852,27.829443,28.153691,31.744177,2.893023,17.35523,19.808932,14.309912,5.501459,18.20214,NA,23.458184,35.638627,26.767201
2000-03-08,3.989075,28.618655,23.494486,11.252849,56.639627,23.018299,25.423252,28.033471,26.056225,85.801837,38.215287,81.841332,40.302921,23.368818,31.940197,15.331592,20.364324,27.766385,29.654351,32.66275,2.828157,18.765342,18.834723,14.107222,5.347077,17.751592,NA,23.827191,36.200602,26.64173
2000-03-09,3.997249,28.618655,23.758469,11.3535,59.607993,23.639455,25.152431,29.086608,25.793788,90.387071,40.262534,83.189307,41.508283,23.924239,32.799342,15.089514,21.192142,27.219886,31.905342,34.179464,2.776265,19.886201,18.753538,14.75583,5.508474,17.323571,NA,24.723346,36.668916,26.913585
2000-03-10,4.11169,29.536664,22.790531,11.494412,58.351117,22.823078,24.881611,28.183918,26.331156,94.656081,38.943197,81.071061,42.143838,23.327676,31.813845,14.686051,21.026579,27.409058,31.089766,34.521259,2.789238,20.247768,17.454592,14.917982,5.711978,17.616427,NA,24.169838,35.919615,25.773885
2000-03-13,3.966595,29.507522,22.96652,11.474282,58.270891,22.663352,26.235714,28.033471,25.881264,93.074966,38.579242,82.948597,42.823224,23.03968,32.369769,14.174162,21.481879,26.56829,29.752221,33.495875,2.983836,19.850044,18.59117,14.593678,5.620748,17.661482,NA,24.117121,35.732289,25.387018
2000-03-14,3.73567,29.94467,23.2745,11.534673,56.372207,23.532971,25.897188,27.381531,25.393882,88.331621,38.078803,83.670727,41.332958,23.94481,31.940197,14.03242,20.198761,26.610328,29.491236,32.513215,2.996809,19.23538,18.104065,14.472064,5.620748,17.999393,NA,23.642686,35.779121,25.847079
2000-03-15,3.801065,30.979259,24.550418,12.319756,55.035105,23.834676,27.420552,27.933165,26.706066,87.330249,41.490883,82.419036,42.143838,25.323076,33.60796,15.409339,21.52327,27.745366,31.220258,32.598664,3.424924,20.392395,18.997091,15.485514,5.77513,19.418619,NA,23.642686,38.637552,26.014374
