date,ticker,price
2016-05-25,UTX,99.713447
2016-05-26,UTX,99.802907
2016-05-27,UTX,100.150789
2016-05-31,UTX,99.971877
2016-06-01,UTX,99.743265
2016-06-02,UTX,100.180607
2016-06-03,UTX,99.822783
2016-06-06,UTX,100.74716
2016-06-07,UTX,100.836612
2016-06-08,UTX,101.452867
2016-06-09,UTX,101.701355
2016-06-10,UTX,101.38329
2016-06-13,UTX,100.598066
2016-06-14,UTX,100.57819
2016-06-15,UTX,99.932118
2016-06-16,UTX,100.508613
2016-06-17,UTX,100.588124
2016-06-20,UTX,101.085101
2016-06-21,UTX,100.95589
2016-06-22,UTX,100.737219
2016-06-23,UTX,101.711297
2016-06-24,UTX,98.292093
2016-06-27,UTX,96.62225
2016-06-28,UTX,98.431246
2016-06-29,UTX,99.862542
2016-06-30,UTX,101.929968
2016-07-01,UTX,102.10888
2016-07-05,UTX,100.011637
2016-07-06,UTX,100.767036
2016-07-07,UTX,101.353473
2016-07-08,UTX,103.033257
2016-07-11,UTX,103.331439
2016-07-12,UTX,103.868175
2016-07-13,UTX,104.454604
2016-07-14,UTX,104.504304
2016-07-15,UTX,104.862128
2016-07-18,UTX,104.852187
2016-07-19,UTX,104.981406
2016-07-20,UTX,105.398864
2016-07-21,UTX,105.210011
2016-07-22,UTX,104.494363
2016-07-25,UTX,104.017269
2016-07-26,UTX,107.237677
2016-07-27,UTX,107.03889
2016-07-28,UTX,106.929554
2016-07-29,UTX,106.999131
2016-08-01,UTX,106.293424
2016-08-02,UTX,105.62747
2016-08-03,UTX,105.647353
2016-08-04,UTX,105.716929
2016-08-05,UTX,107.088583
2016-08-08,UTX,107.138284
2016-08-09,UTX,107.684954
2016-08-10,UTX,107.46629
2016-08-11,UTX,108.519879
2016-08-12,UTX,108.211756
2016-08-15,UTX,109.026797
2016-08-16,UTX,108.500003
2016-08-17,UTX,108.940002
2016-08-18,UTX,109.330002
2016-08-19,UTX,109.139999
2016-08-22,UTX,108.5
2016-08-23,UTX,108.0
2016-08-24,UTX,107.959999
2016-08-25,UTX,107.720001
2016-08-26,UTX,107.309998
2016-08-29,UTX,107.970001
2016-08-30,UTX,107.349998
2016-08-31,UTX,106.43
2016-09-01,UTX,106.720001
2016-09-02,UTX,106.93
2016-09-06,UTX,106.010002
2016-09-07,UTX,105.849998
2016-09-08,UTX,105.75
2016-09-09,UTX,102.68
2016-09-12,UTX,104.029999
2016-09-13,UTX,102.32
2016-09-14,UTX,101.660004
2016-09-15,UTX,102.709999
2016-09-16,UTX,100.099998
2000-01-03,VZ,25.400907
2000-01-04,VZ,24.579813
2000-01-05,VZ,25.400907
2000-01-06,VZ,25.271879
2000-01-07,VZ,25.085273
2000-01-10,VZ,24.951982
2000-01-11,VZ,24.718723
2000-01-12,VZ,23.885656
2000-01-13,VZ,23.699052
2000-01-14,VZ,24.018948
2000-01-18,VZ,25.058614
2000-01-19,VZ,24.578769
2000-01-20,VZ,24.658746
2000-01-21,VZ,25.618435
2000-01-24,VZ,25.645094
2000-01-25,VZ,24.951982
2000-01-26,VZ,24.632087
2000-01-27,VZ,24.845351
2000-01-28,VZ,24.578769
2000-01-31,VZ,26.418178
2000-02-01,VZ,25.40517
2000-02-02,VZ,25.298538
2000-02-03,VZ,24.925323
2000-02-04,VZ,24.978643
2000-02-07,VZ,25.485144
2000-02-08,VZ,25.165247
2000-02-09,VZ,24.658746
2000-02-10,VZ,24.338845
2000-02-11,VZ,23.885656
2000-02-14,VZ,23.59242
2000-02-15,VZ,23.139233
2000-02-16,VZ,23.485788
2000-02-17,VZ,22.925969
2000-02-18,VZ,22.126226
2000-02-22,VZ,22.286171
2000-02-23,VZ,21.433115
2000-02-24,VZ,20.47342
2000-02-25,VZ,20.286816
2000-02-28,VZ,21.273165
2000-02-29,VZ,20.873294
2000-03-01,VZ,23.43247
2000-03-02,VZ,23.565761
2000-03-03,VZ,23.59242
2000-03-06,VZ,24.312189
2000-03-07,VZ,23.725711
2000-03-08,VZ,24.098926
2000-03-09,VZ,25.005302
2000-03-10,VZ,24.445481
2000-03-13,VZ,24.392163
2000-03-14,VZ,23.912317
2000-03-15,VZ,23.912317
2000-03-16,VZ,24.685401
2000-03-17,VZ,25.245224
2000-03-20,VZ,25.218565
2000-03-21,VZ,25.111934
2000-03-22,VZ,24.685401
2000-03-23,VZ,25.431829
2000-03-24,VZ,25.378511
2000-03-27,VZ,25.858357
2000-03-28,VZ,25.805045
2000-03-29,VZ,26.444837
2000-03-30,VZ,26.12494
2000-03-31,VZ,26.071622
2000-04-03,VZ,26.898024
2000-04-04,VZ,27.191265
2000-04-05,VZ,26.951342
2000-04-06,VZ,27.974849
2000-04-07,VZ,27.733455
2000-04-10,VZ,27.116563
2000-04-11,VZ,27.492062
2000-04-12,VZ,27.626171
2000-04-13,VZ,27.062918
2000-04-14,VZ,26.23145
2000-04-17,VZ,26.016878
2000-04-18,VZ,26.0437
2000-04-19,VZ,26.499667
2000-04-20,VZ,25.855952
2000-04-24,VZ,26.58013
2000-04-25,VZ,27.009278
2000-04-26,VZ,26.392381
2000-04-27,VZ,25.748666
